provider,review_id,rating,title,text,likes,filtered,pending,experienced_date,published_date,source_url
covered,695c2211babd0bf827d2ddc8,5,Handled my problem,My mortgage company failed to issue a payment and Ariel was able to expedite the dispersing of funds from mortgage company.. Thank you!,0,False,False,2026-01-05T00:00:00.000Z,2026-01-05T22:41:53.000Z,https://www.trustpilot.com/review/itscovered.com?page=1
covered,695c100339ca5111df394c84,5,Great Service,"I worked with both Cydney Hicks and Karina, and they both were super knowledgeable, efficient, and made sure we had all of our needs covered. Thank you both! Especially over the Holiday Week, I was expecting big delays, but they got things moving quickly. ",0,False,False,2026-01-01T00:00:00.000Z,2026-01-05T21:24:51.000Z,https://www.trustpilot.com/review/itscovered.com?page=1
covered,695a88ee7e6420e7ad98e558,5,Christopher was amazing,Christopher was amazing. He listened and helped me get a great quote for insurance for my mortgage ,0,False,False,2025-12-31T00:00:00.000Z,2026-01-04T17:36:14.000Z,https://www.trustpilot.com/review/itscovered.com?page=1
covered,69589333fdf023a728bbcd1a,5,Great experience with Paul ,great fast friendly experience with Paul Nussbaum only took about 20 to find my new policy's .Paul even helped me save a few $$$ ,0,False,False,2025-12-30T00:00:00.000Z,2026-01-03T05:55:31.000Z,https://www.trustpilot.com/review/itscovered.com?page=1
covered,69585e65758e51c4899a06ce,5,Austin helped me get pet insurance that…,Austin helped me get pet insurance that fits our needs! He was incredibly helpful through the process. ,0,False,False,2025-12-29T00:00:00.000Z,2026-01-03T02:10:13.000Z,https://www.trustpilot.com/review/itscovered.com?page=1
covered,695854d4a84dce24f972c346,5,Lateisha was wonderful!,Lateisha was wonderful!  She went above and beyond the call of duty.  She explained everything to me and followed up with me regarding insurance coverage.  ,0,False,False,2025-12-29T00:00:00.000Z,2026-01-03T01:29:24.000Z,https://www.trustpilot.com/review/itscovered.com?page=1
covered,69581ccc4e0f793cc4a940a1,4,Smooth process,Smooth process ,0,False,False,2025-12-12T00:00:00.000Z,2026-01-02T21:30:20.000Z,https://www.trustpilot.com/review/itscovered.com?page=1
covered,6954002870ca35a63650eaab,5,Corey Dawson has been great helping us,Corey Dawson has been great in helping us. Customer service helped when we needed to change start date of our policy.,0,False,False,2025-12-26T00:00:00.000Z,2025-12-30T18:39:04.000Z,https://www.trustpilot.com/review/itscovered.com?page=1
covered,694b1460b8b7800326605f34,5,Lateisha Farmer Kollee has been…,"Lateisha Farmer Kollee has been wonderful. She’s fast and gets the job done. Thank you again if you’re seeing this, Lateisha.",0,False,False,2025-12-23T00:00:00.000Z,2025-12-24T00:14:56.000Z,https://www.trustpilot.com/review/itscovered.com?page=1
covered,694812b1d82f729a573c7391,4,Satisfied  customer!!,"
My experience was very satisfying. The agent was very professional; she helped me very kindly and patiently to find the right coverage for my property. ",0,False,False,2025-12-14T00:00:00.000Z,2025-12-21T17:30:58.000Z,https://www.trustpilot.com/review/itscovered.com?page=1
covered,6941476e8dad060455759007,5,Michelle was very helpful,Michelle was very helpful,0,False,False,2025-12-11T00:00:00.000Z,2025-12-16T13:50:06.000Z,https://www.trustpilot.com/review/itscovered.com?page=1
covered,693f47ad20ec00651eadd063,5,they was very nice and helpful.,they was very nice and helpful. ,0,False,False,2025-12-10T00:00:00.000Z,2025-12-15T01:26:37.000Z,https://www.trustpilot.com/review/itscovered.com?page=1
covered,693e1f53d5430fa2f189edac,4,Helpful and accommodating ,Easy to talk to. ,0,False,False,2025-12-10T00:00:00.000Z,2025-12-14T04:22:12.000Z,https://www.trustpilot.com/review/itscovered.com?page=1
covered,693d8a998fcf0ad50092d5d5,5,Communicating with the loan company and…,Communicating with the loan company and myself.  ,0,False,False,2025-11-03T00:00:00.000Z,2025-12-13T17:47:37.000Z,https://www.trustpilot.com/review/itscovered.com?page=1
covered,693c7c9e80cd8dd62a80b7a2,5,It is as actually my first time…,"It is as actually my first time shopping around for homeowners insurance without any lender helping and it was very easy to do so. Exceptional customer service, fast and adorable. I'm supper happy with the he results and I couldn't have done it without agent Mathew's help.",0,False,False,2025-12-11T00:00:00.000Z,2025-12-12T22:35:42.000Z,https://www.trustpilot.com/review/itscovered.com?page=1
covered,6939b430ffd1dd90723b83bf,5,i had Diamond and have since referred…,i had Diamond and have since referred several of my family members to her.  She is working on my car insurance to see if she can save me money.  I saved $1400 per year with her and didn't lose any coverage,0,False,False,2025-12-10T00:00:00.000Z,2025-12-10T19:56:00.000Z,https://www.trustpilot.com/review/itscovered.com?page=1
covered,6938c16749a2135443d18268,1,When to cancel the policy the person…,When to cancel the policy the person would not answer the phone are call back.Will not ever use Covered again..,0,False,False,2025-12-06T00:00:00.000Z,2025-12-10T02:40:07.000Z,https://www.trustpilot.com/review/itscovered.com?page=1
covered,69389e3da43954db0297fcbf,5,Lateisha K is the best,"Lateisha K is the best. Helpful, knowledgeable, and just a great person to talk through insurance with. 15 Stars if I could",0,False,False,2025-12-09T00:00:00.000Z,2025-12-10T00:10:05.000Z,https://www.trustpilot.com/review/itscovered.com?page=1
covered,693887c71c6e7f4701abe9dc,5,Kenndle was a tremendous help and being…,Kenndle was a tremendous help and being able to shop insurance in one stop was very helpful!,0,False,False,2025-12-05T00:00:00.000Z,2025-12-09T22:34:16.000Z,https://www.trustpilot.com/review/itscovered.com?page=1
covered,69374681a133d61c1994ab97,5,Great Company!!!!,Great Company!!!!,0,False,False,2025-12-04T00:00:00.000Z,2025-12-08T23:43:29.000Z,https://www.trustpilot.com/review/itscovered.com?page=1
