provider,review_id,rating,title,text,likes,filtered,pending,experienced_date,published_date,source_url
bivvy,6957aa63915d9bc8092b1465,5,Thank u trustpilot,Thank u trustpilot ,0,False,False,2026-01-02T00:00:00.000Z,2026-01-02T13:22:12.000Z,https://www.trustpilot.com/review/bivvy.com?page=1
bivvy,69438bedbbfd516ca0a71b7e,4,It’s better for future...i like it,It’s better for future...i like it,0,False,False,2025-11-20T00:00:00.000Z,2025-12-18T07:06:53.000Z,https://www.trustpilot.com/review/bivvy.com?page=1
bivvy,69393b27c8db2c33b7c7b638,5,Choosing the right plan for my pet was…,"Choosing the right plan for my pet was easy and stress-free. The whole experience was straightforward and really helpful. Even my dog sat right beside me, relaxed, while I signed up and checked prices—a sign we both felt good about it!",0,False,False,2025-11-20T00:00:00.000Z,2025-12-10T11:19:35.000Z,https://www.trustpilot.com/review/bivvy.com?page=1
bivvy,655a987bb9469d0d53cace15,1,Their system lost my claims 10 of them,Their system lost my claims 10 of them.  When I asked to resubmit.  They told me it's too late to try again.  If it was your system that screwed up. Why can't you fix it? Totally defeats the purpose of having insurance.  Literally a years worth of claims down the drain.,2,False,False,2023-10-12T00:00:00.000Z,2023-11-20T01:21:31.000Z,https://www.trustpilot.com/review/bivvy.com?page=1
bivvy,649480abc8884d8d3c1f8aa0,1,Well care claim,"My second claim. The first went fine and they sent checks. This time they tell me ""the check is in the mail"" and should take 7-10 days.....really? Very disappointed. We signed up for well care,  they paid 80.00 for a 450.00 bill. 80.00 is 3 months of payment for Toby.",2,False,False,2023-06-22T00:00:00.000Z,2023-06-22T19:11:07.000Z,https://www.trustpilot.com/review/bivvy.com?page=1
bivvy,64761ef52e5d74bf10e02293,1,Bivvy cancelled my dog’s insurance at…,"Bivvy cancelled my dog’s insurance at his one year mark. He’s getting older and he’s a big boy, so he’s been having some issues with his back hips and legs. Upon speaking with Bivvy they informed me if I can wait another month for surgery until he hit his one year mark, they would begin coverage for orthopedic conditions. So I waited the month, now coming up on his one year mark I went to schedule the appointment and found that his insurance would be cancelled at the one year mark. They suggested I move his coverage to spot and upon calling spot I was informed I would have to wait six months before orthopedic conditions are covered and because his has already been realized, it is pre-existing and will not be covered. So now I’m completely heartbroken and completely out of luck. I paid for this insurance for a year for nothing and now I have no choice but to pay for the surgery entirely out of pocket even though I did everything in my power to have insurance for him. Do not use this company they will screw you over.",3,False,False,2023-05-30T00:00:00.000Z,2023-05-30T18:06:13.000Z,https://www.trustpilot.com/review/bivvy.com?page=1
bivvy,64514d25bb0c5373a75d4e14,1,Stay away from this DISHONEST and SHADY company,"I submitted a claim for a condition which symptoms first appears in March of 2021. My Bivvy policy started in October of 2020. Bivvy is saying this is a preexisting condition. The injury occurred 4 months after our policy started! Unbelievable. Total scam.

UPDATE: I reached out to Bivvy regarding the denial and their false preexisting condition claim. They are now claiming the condition started in April of 2020 a full 11 months prior to when the initially claimed the condition first occurred. Regardless both claims are false. They seem to be throwing out dates to see what will stick and when I question their reasoning the change their story.  SERIOSULY, stay away from this dishonest and shady company.",3,False,False,2023-04-29T00:00:00.000Z,2023-05-02T19:49:25.000Z,https://www.trustpilot.com/review/bivvy.com?page=1
bivvy,643aae7bec68ba8def04569a,2,Dropped me after my second claim!,"I was happy with this insurance and have been a customer for approximately 3 years.  This year, my 7 year old goldendoodle had a injury to her back leg.  Bivvy honored the contract, I met my deductible and had an easy reimbursement from Bivvy for their portion of the claim.  One month later, I get a email saying they are dropping my dog for coverage for no reason.  Now I can't get any other insurance on her because this would be a pre-existing condition.  I would say, look elsewhere for your pet insurance.",1,False,False,2023-04-11T00:00:00.000Z,2023-04-15T16:02:35.000Z,https://www.trustpilot.com/review/bivvy.com?page=1
bivvy,6436a2bde8050261eaf77d07,1,Now that our dog is 12 they suddenly…,Now that our dog is 12 they suddenly cancelled our insurance plan. They didn’t even give a reason. Just as of June it won’t renew. Beware if your dog is getting old,1,False,False,2023-04-11T00:00:00.000Z,2023-04-12T14:23:25.000Z,https://www.trustpilot.com/review/bivvy.com?page=1
bivvy,6434485bd2d423c52c04087a,5,"Wonderful People, Great Experiences","For my sweet Gracie, the only claim I had to file was for treatment, euthanasia, and cremation in her last 36 hours of life. The deductible was taken out plus the copay. It was a great help during one of the worst experiences of my life. The responding email from Bivvy expressed condolences on my loss and was a sweet surprise and a comfort. My Sadie is 8 months, I’ve had her for 4.  She’s already had 2 claims, one for an after hours emergency. My vet has more than doubled their emergency fee! It matched my deductible, but the rest was covered, except for my copay.  It has been a very simple and quick process with my claims. I’ve looked at other pet insurance companies, and I simply can’t afford their premiums. As well, the negative reviews have been horrendous! And a lot require the deductible on every claim, and also raise premiums without notice! I’m a retired Paramedic with PTSD (Gracie was my service dog for nearly 10 of her 12 years), and hopefully Sadie will be as well. I am staying with Bivvy! I’ve been very happy with them so far! Especially during the loss of my Gracie.",1,False,False,2022-11-16T00:00:00.000Z,2023-04-10T19:33:15.000Z,https://www.trustpilot.com/review/bivvy.com?page=1
