provider,review_id,rating,title,text,likes,filtered,pending,experienced_date,published_date,source_url
embrace,695c41deac6f8a2b0fa2c4f0,5,The process was simple and fast,The process was simple and fast. I appreciate the simplicity and the quick turnaround in receiving payment. I can’t say enough good things about Embrace and my experience during my time of need. Thank you! ,0,False,False,2026-01-01T00:00:00.000Z,2026-01-06T00:57:34.000Z,https://www.trustpilot.com/review/embracepetinsurance.com?page=1
embrace,695c1022af532f9446939419,1,Complete waste of money,"Complete waste of money, maybe a total scam. I started my policy when my cat was 4.5 months old and canceled it after a year because he was recently diagnosed with IBD and embrace won't cover ANYTHING digestive related all because my little kitten had one instance of vomiting prior to my policy start date. He could have vomited for any reason, ie eating plants or food he's not supposed to, or eating too quickly, but because it was on his medical record embrace said they would not cover anything digestion related. So if his IBD turns into pancreatitis, lymphoma, or even if he just needs steroids to manage it, nothing would ever be covered. I'm furious. Embrace did not cover any of the numerous fecal, blood, checkups, emergency visits, vaccines, and ultrasound tests throughout my year of having it. Embrace doesn't do anything but take your money. Apparently AKC covers preexisting conditions so I'm switching over to them. On top of that, it was really hard to cancel because two of their listed phone numbers to call would not go through. I had to call the number to BUY a policy and ask them to transfer me to cancel. Total scam.",0,False,False,2026-01-05T00:00:00.000Z,2026-01-05T21:25:22.000Z,https://www.trustpilot.com/review/embracepetinsurance.com?page=1
embrace,695b37b4bd62abaabaa943d4,1,Embrace wanted me to resubmit the…,"Embrace wanted me to resubmit the invoice.  Embrace claimed the limited information on the left side was cut off.  Their system did the cropping.  I was looking at the photo while I was on the phone with them.

When I asked exactly what was missing so I could retake the photo and recenter the invoice so the dates and my first name would show the customer service rep just kept repeating herself.  When I asked for another rep since we were not communicating I was put on hold for over ten minutes.  Then she came back and said no one was available. 

This is the second time I have been horsed around about a claim.  I am done.  ",1,False,False,2026-01-02T00:00:00.000Z,2026-01-05T06:01:56.000Z,https://www.trustpilot.com/review/embracepetinsurance.com?page=1
embrace,695af87f2ab7fb17de65cc2a,5,Filing a claim is easy,"Filing a claim is easy, directions on the web site are good.  When you have a legitimate claim, they pay quickly.",0,False,False,2025-12-30T00:00:00.000Z,2026-01-05T01:32:15.000Z,https://www.trustpilot.com/review/embracepetinsurance.com?page=1
embrace,695aad007645d6875e7b8f08,2,Website is Failing,"I have several pets insured with Embrace.  Although their premiums have skyrocketed over the past year, I need to look into adding another dog to be insured.  I have tried multiple times to get a quote at their website and I constantly get an error message.  So I called them to find out what is wrong with the website.  I was told the issue would be looked into.  Four days later there is no improvement or change in getting a quote.  Higher premiums and less service.  Not what I was hoping for.",1,False,False,2025-12-31T00:00:00.000Z,2026-01-04T20:10:08.000Z,https://www.trustpilot.com/review/embracepetinsurance.com?page=1
embrace,695981fff91affffd1bf6727,5,Follow-up on Veternarian identification…,Follow-up on Veternarian identification was required.  Company employee was very helpful and that was completed for application.,0,False,False,2026-01-01T00:00:00.000Z,2026-01-03T22:54:23.000Z,https://www.trustpilot.com/review/embracepetinsurance.com?page=1
embrace,695830d533da4f899a4c9301,5,Thes service that I received was most…,The service that I received was most excellent,0,False,False,2025-12-30T00:00:00.000Z,2026-01-02T22:55:49.000Z,https://www.trustpilot.com/review/embracepetinsurance.com?page=1
embrace,695810ce05d7536f78c546f5,1,My premium went up $60 a month out of…,My premium went up $60 a month out of the blue 35% more than what I was previously paying which was already high. They said it is because of inflation...  Inflation is 8%. My dog is perfectly healthy and only 6 years old. This is highway robbery and I recommend you look elsewhere for pet inusrance.,1,False,False,2026-01-01T00:00:00.000Z,2026-01-02T20:39:10.000Z,https://www.trustpilot.com/review/embracepetinsurance.com?page=1
embrace,6957fce5d542d72dd2ce964e,5,Helpful and Personable Customer Service ,My interaction with customer service when I couldn’t get the expiration date for billing to change was an easy and pleasant experience as all my interactions with Embrace have been. The person who helped me was extremely personable and helpful. ,0,False,False,2025-12-26T00:00:00.000Z,2026-01-02T19:14:13.000Z,https://www.trustpilot.com/review/embracepetinsurance.com?page=1
embrace,6957d72153b3a8b976915bc5,3,I filed three claims at the same time,"I filed three claims at the same time. One claim is still pending info from the vet, so I won't review that one. One claim was reimbursed as expected - 5 stars for that. The other claim was reimbursed at about 20% of the total - much lower than expected. I sent a follow up asking why the amount was so low and still have not received a response. 1 star for that.",1,False,False,2025-12-29T00:00:00.000Z,2026-01-02T16:33:05.000Z,https://www.trustpilot.com/review/embracepetinsurance.com?page=1
