provider,review_id,rating,title,text,likes,filtered,pending,experienced_date,published_date,source_url
nationwide,695c52c8e3ba1e6939a582a1,5,You reply right away and changing…,"You reply right away and changing Rudy’s coverage was very easy.
Thank you",0,False,False,2026-01-04T00:00:00.000Z,2026-01-06T02:09:44.000Z,https://www.trustpilot.com/review/www.petinsurance.com?page=1
nationwide,695c24883afbdac112376857,5,The cost,"The cost, easiness in completing the form and I have used this insurance regarding my pets over 20 years. ",0,False,False,2025-12-28T00:00:00.000Z,2026-01-05T22:52:24.000Z,https://www.trustpilot.com/review/www.petinsurance.com?page=1
nationwide,695bfa58bdc538356c8d7bfa,5,Great Experience,I worked with Kia while setting up pet insurance and had a great experience. He was genuine and so nice and was able to answer all of my questions. Very good customer service.,0,False,False,2025-12-31T00:00:00.000Z,2026-01-05T19:52:24.000Z,https://www.trustpilot.com/review/www.petinsurance.com?page=1
nationwide,695be37874ead08887e54343,5,I used a search tool to compare prices…,"I used a search tool to compare prices and coverages. Your was the most thorough questions, and breakdown of what was and was not covered. Plus, it wasnt the cheapest but very well priced with I think more coverage options. ",0,False,False,2026-01-05T00:00:00.000Z,2026-01-05T18:14:48.000Z,https://www.trustpilot.com/review/www.petinsurance.com?page=1
nationwide,695b0afc08f40edf556a7bd9,5,I expected a discount ,I expected a discount because of being near 80 years old. This was put out there as a plan with a lower price for seniors. I do not think I got a lower price. I need the insurance for my little Gertie so will go ahead with it but am disappointed that I didn’t get what was advertised ,0,False,False,2026-01-04T00:00:00.000Z,2026-01-05T02:51:08.000Z,https://www.trustpilot.com/review/www.petinsurance.com?page=1
nationwide,695b08ee0b37d58605cf9caa,5,Clear instructions concerning benefits…,Clear instructions concerning benefits and claims process. Appreciate when Sam was covered previously.,0,False,False,2025-12-28T00:00:00.000Z,2026-01-05T02:42:22.000Z,https://www.trustpilot.com/review/www.petinsurance.com?page=1
nationwide,695afa9ccd9fab51c5b17e71,5,Great company to buy Pet Insurance!,Great company to buy Pet Insurance!,0,False,False,2025-12-09T00:00:00.000Z,2026-01-05T01:41:16.000Z,https://www.trustpilot.com/review/www.petinsurance.com?page=1
nationwide,695abb6551431983890257fc,5,"Clear policies, affordable, & reliable",Nationwide makes it easy to submit a claim and they’re fair on their reimbursements! I was using a different pet insurance and I got so frustrated with all the different rules and sneaky ways of them getting around paying for things. This policy had the same coverage & price without the nonsense. Happy I made the switch!,0,False,False,2025-12-02T00:00:00.000Z,2026-01-04T21:11:33.000Z,https://www.trustpilot.com/review/www.petinsurance.com?page=1
nationwide,695a6e8bc58436ba000caa33,2,It’s taking forever to get reimbursed.,It’s taking forever to get reimbursed.  ,0,False,False,2026-01-01T00:00:00.000Z,2026-01-04T15:43:39.000Z,https://www.trustpilot.com/review/www.petinsurance.com?page=1
nationwide,695a639802dc155a8a42a856,5,Cut per insurance in half with the same…,Cut per insurance in half with the same or more coverage ,0,False,False,2026-01-04T00:00:00.000Z,2026-01-04T14:56:56.000Z,https://www.trustpilot.com/review/www.petinsurance.com?page=1
nationwide,6959b6af395bb1d089cba9fe,5,Helpful and Professional ,Darren was very helpful and professional. He answered all of my questions and was able to quickly set up policies for my two guinea pigs. ,0,False,False,2026-01-03T00:00:00.000Z,2026-01-04T02:39:11.000Z,https://www.trustpilot.com/review/www.petinsurance.com?page=1
nationwide,6959b2c918ecef5b94f11fb3,5,Kevin Rentch was outstanding,Kevin Rentch was outstanding. He is the reason I’ve had this insurance since 2002.  This is the 3rd dog on Nationwide.   Kevin is extremely knowledgeable and very kind!  ,0,False,False,2026-01-02T00:00:00.000Z,2026-01-04T02:22:33.000Z,https://www.trustpilot.com/review/www.petinsurance.com?page=1
nationwide,6959aef2cacfd8b30ce81c73,5,The agent was very concerned with what…,The agent was very concerned with what I wanted for coverage and no hard selling. Made it a pleasure.,0,False,False,2026-01-03T00:00:00.000Z,2026-01-04T02:06:10.000Z,https://www.trustpilot.com/review/www.petinsurance.com?page=1
nationwide,6959905a4f919f6a0c8097e0,5,Knowledgeable & Patient,Jeremy was very knowledgeable and patient.  He explained everything and answered all questions.  I referred him to my friends.,0,False,False,2025-12-31T00:00:00.000Z,2026-01-03T23:55:38.000Z,https://www.trustpilot.com/review/www.petinsurance.com?page=1
nationwide,695975e2bd98a3a215b8f306,5,Fast and easy.,Fast and easy. ,0,False,False,2025-12-23T00:00:00.000Z,2026-01-03T22:02:42.000Z,https://www.trustpilot.com/review/www.petinsurance.com?page=1
nationwide,69595c7b0b0c6b829b5c859d,5,Fair prices,Easy app guidance and fair cost,0,False,False,2026-01-03T00:00:00.000Z,2026-01-03T20:14:19.000Z,https://www.trustpilot.com/review/www.petinsurance.com?page=1
nationwide,6959398694a305663d0fcb32,3,I was on hold for a really long time,"I was on hold for a really long time; I had to be transferred several times and each time the hold time was really long. Also, I did not receive a renewal bill and so my policy lapsed. I think it might have been because one if the dogs on the policy passed away but I still had another dog that was covered. When I receive a bill I write it on a   calendar. I checked my calendar and there was no bill noted. I pay my bill in full each year.",0,False,False,2026-01-03T00:00:00.000Z,2026-01-03T17:45:10.000Z,https://www.trustpilot.com/review/www.petinsurance.com?page=1
