provider,review_id,rating,title,text,likes,filtered,pending,experienced_date,published_date,source_url
petsbest,695c2960978b97fffdbca5a7,1,Absolutely the worst experience I've…,Absolutely the worst experience I've ever had with an insurance company. Submitted required information 3 times and no updates after almost 2 months of initial filing of claim. Hold times for customer service is 30-60 minutes every time I call for an update. Absolutely unacceptable. ,0,False,False,2026-01-05T00:00:00.000Z,2026-01-05T23:13:04.000Z,https://www.trustpilot.com/review/petsbest.com?page=1
petsbest,695c0b4096faf77e41a9292d,5,I had a friend suggest pet insurance a…,"I had a friend suggest pet insurance a few years ago and decided to give it a try. My dog is healthy but we had an unexpected accident in October where he hurt his knee. Pets Best made the process easy and WAY less stressful. Pet insurance is a MUST, I will never go without it again! ",0,False,False,2025-10-16T00:00:00.000Z,2026-01-05T21:04:32.000Z,https://www.trustpilot.com/review/petsbest.com?page=1
petsbest,695ab81174b6be6061e026c5,5,I like what I received it just took…,I like what I received it just took longer than I thought it would to get the reimbursement.,0,False,False,2025-12-10T00:00:00.000Z,2026-01-04T20:57:21.000Z,https://www.trustpilot.com/review/petsbest.com?page=1
petsbest,695aa72b35e0f944ec064072,1,Raised the price to almost double…,"Raised the price to almost double without informing me first, didn’t cover the cost of a surgery resulting from an infection. I’m planning on cancelling.",0,False,False,2026-01-04T00:00:00.000Z,2026-01-04T19:45:15.000Z,https://www.trustpilot.com/review/petsbest.com?page=1
petsbest,695a89d45b54d09528e72393,5,Pets Best is amazing,Pets Best is amazing. Wonderful customer service. Rates and coverage options to fit any budget. The claims process is simple and works seamlessly with prompt processing. I highly recommend Pets Best and am so glad to have them to assist with our pets health care needs.,0,False,False,2026-01-02T00:00:00.000Z,2026-01-04T17:40:04.000Z,https://www.trustpilot.com/review/petsbest.com?page=1
petsbest,69591ae1eb4dffa4962007a6,2,The claims dept doesn't read,"The claims dept doesn't read. They sent my claims back saying it needed more info and hospital records without giving me the invoices that were in question, dates or anything at all that would be helpful. I spent over an hour on the phone with someone trying to figure out what the problem was. Claims simply didn't read the invoice and passed it off. They need to look with their eyes, not their keyboard!!! Very aggravating.",0,False,False,2026-01-02T00:00:00.000Z,2026-01-03T15:34:25.000Z,https://www.trustpilot.com/review/petsbest.com?page=1
petsbest,69589d62946af94fc4dd3f0a,5,We love Pets Best,We love Pets Best! They have been fantastic with claims and reimbursement of those claims.,0,False,False,2026-01-02T00:00:00.000Z,2026-01-03T06:38:58.000Z,https://www.trustpilot.com/review/petsbest.com?page=1
petsbest,69585a172fd83265f93c2c1c,5,Dental pain relief ,I was fortunate to not need the insurance after purchasing it for a few years. But when my girl Lacey ended up with dental fracture injuries PetsBest processed my claims quickly - even reaching out to my vet for records.  All applicable charges for visit and surgery were taken care of and I received payment based on my policy terms.  Highly recommend PetsBest !!,0,False,False,2025-11-24T00:00:00.000Z,2026-01-03T01:51:51.000Z,https://www.trustpilot.com/review/petsbest.com?page=1
petsbest,695858f8ef6c858541d58310,4,Quick processing of claims,Quick processing of claims and I have never once had to fight to have a claim approved. ,0,False,False,2026-01-02T00:00:00.000Z,2026-01-03T01:47:04.000Z,https://www.trustpilot.com/review/petsbest.com?page=1
petsbest,69581068721b6fc5c320f9ed,3,Need information in a timely manner ,I’m disappointed that the process took as long as it without knowing why. Only after calling and eventually getting an email did I find out that the delay was due to problems that had to do with updating the system. I would have felt more comfortable knowing that before I had to make the call. Especially since my monthly bill came right on time with no glitch.,0,False,False,2025-12-06T00:00:00.000Z,2026-01-02T20:37:28.000Z,https://www.trustpilot.com/review/petsbest.com?page=1
petsbest,6957f792930abb0045ae9014,1,Poor customer service and poorly managed company ,"This company's reputation changed in 2025. They had a massive website outage thst caused thousands of customers to lose all access to their accounts. No claims could be submitted, no policy documents could be accessed. Call wait times are often at least 1 hour and good luck getting an email reply that's any kind of helpful. The issue has been ongoing for at least 3 months and the company takes no accountability whatsoever. ",0,False,False,2025-11-01T00:00:00.000Z,2026-01-02T18:51:30.000Z,https://www.trustpilot.com/review/petsbest.com?page=1
petsbest,695780f0e6b936e9c057c30a,5,A valid claim was denied and a phone…,A valid claim was denied and a phone call to a rep resolved the oversight quickly.  It took another two weeks but it was during the holiday season. I was very satisfied with how well everything was handled. ,0,False,False,2025-12-19T00:00:00.000Z,2026-01-02T10:25:20.000Z,https://www.trustpilot.com/review/petsbest.com?page=1
