provider,review_id,rating,title,text,likes,filtered,pending,experienced_date,published_date,source_url
trupanion,695c2d4a2de1befc13afeaa0,5,We never have to worry about providing…,We never have to worry about providing our girl with the best care if ever needed with Trupanion!,0,False,False,2026-01-03T00:00:00.000Z,2026-01-05T23:29:46.000Z,https://www.trustpilot.com/review/trupanion.com?page=1
trupanion,695c245557c6eb1668fcf607,5,Easy process to turn in claims,The process for turning in claims was very easy while dealing with medical issues,0,False,False,2026-01-03T00:00:00.000Z,2026-01-05T22:51:33.000Z,https://www.trustpilot.com/review/trupanion.com?page=1
trupanion,695c0e6efaa51e494ace70d9,5,How can I sum up my gratitude?,"Words can hardly capture the gratitude I feel for helping to save my bulldog. I am truly in awe of Trupanion and its exceptional customer service. For over 10 years, Trupanion has given my pets access to the best possible care, allowing us to make medical decisions with confidence and peace of mind. Thank you, Trupanion, for being such an important part of our family’s life.",0,False,False,2026-01-05T00:00:00.000Z,2026-01-05T21:18:06.000Z,https://www.trustpilot.com/review/trupanion.com?page=1
trupanion,695c0bf494d54884432bd0a1,5,They covered exactly what they said…,"They covered exactly what they said they would. And they did it within a few days, even with the holiday! I'm so thankful to have them. Help me with my dogs!!",0,False,False,2026-01-03T00:00:00.000Z,2026-01-05T21:07:32.000Z,https://www.trustpilot.com/review/trupanion.com?page=1
trupanion,695be581954a68289e86f2a3,5,Best Decision We've Ever Made,"Fair, responsive, and gracious, Trupanion has made it easy to make good decisions for the health of our dogs. Trupanion has always been helpful and quick to respond to any query or claim. We could not be happier with having Trupanion in our and our dog's lives. ",0,False,False,2026-01-03T00:00:00.000Z,2026-01-05T18:23:29.000Z,https://www.trustpilot.com/review/trupanion.com?page=1
trupanion,695be518ae5bf2fec8c5a420,5,It was a great experience and we saved…,It was a great experience and we saved some decent money. Got a response right away and was very happy with it.,0,False,False,2026-01-03T00:00:00.000Z,2026-01-05T18:21:44.000Z,https://www.trustpilot.com/review/trupanion.com?page=1
trupanion,695bdbd56b296c36ce1a3db3,5,"Trupanion and my ""Mo"".  I purchased Trupanion 8 years ago when…","I purchased Trupanion 8 years ago when I first adopted Mo.  I am so glad I did since he was diagnosed with cancer a few days ago.  The urgent care hospital not only took care of my dog, but they also contacted Trupanion and handled payment of my bill!  I am so thankful to have Trupanion.",0,False,False,2026-01-03T00:00:00.000Z,2026-01-05T17:42:13.000Z,https://www.trustpilot.com/review/trupanion.com?page=1
trupanion,695bd95cc47ea01fe26c3791,5,Efficient and Friendly,Trupanion agents are friendly and respond to claims efficiently.,0,False,False,2026-01-03T00:00:00.000Z,2026-01-05T17:31:40.000Z,https://www.trustpilot.com/review/trupanion.com?page=1
trupanion,695bd7b5cad7d51ad4ac6511,5,Great service and value …,Your customer service representative was knowledgeable caring and easy to communicate with.,0,False,False,2026-01-03T00:00:00.000Z,2026-01-05T17:24:37.000Z,https://www.trustpilot.com/review/trupanion.com?page=1
trupanion,695bd31ac82b6381040182c9,5,Great coverage and really easy to work…,Great coverage and really easy to work with. Awesome customer experience!,0,False,False,2026-01-03T00:00:00.000Z,2026-01-05T17:04:58.000Z,https://www.trustpilot.com/review/trupanion.com?page=1
trupanion,695bbea31ad6ae76df282486,5,I will admit,"I will admit, when I was offered the thirty-day free trial from my vet, I was very skeptical, but I did it. And I am so glad I did. My puppy had an emergency, and the bill was over three thousand dollars, and I only had to pay six hundred of it. I couldn't ask for an easier experience with an insurance company than I got with you. I am so grateful, and I will keep you for as long as the dog is alive.",0,False,False,2025-12-31T00:00:00.000Z,2026-01-05T15:37:39.000Z,https://www.trustpilot.com/review/trupanion.com?page=1
trupanion,695b391e15e578413c6dc453,2,Not a great experience,"I have been paying Seventy some dollars every month for almost 4 years. I had never had a claim until last week. The bill was for $156. It was found that my dog had an UTI. They did not pay for the exam which was to find out what was wrong with my dog, not a routine exam. I will be canceling my insurance tomorrow.",0,False,False,2026-01-02T00:00:00.000Z,2026-01-05T06:07:58.000Z,https://www.trustpilot.com/review/trupanion.com?page=1
