id,filtered,pending,text,rating,title,likes,experienced,published,source
660c1763e8e851231895f67b,False,False,Very easy to use and no run around. I wish human insurance worked like this. Reimbursement was straight forward and quick. I've shared my experience with other pet owners and they can't believe I had such a pleasant experience. ,5,Very easy to use and no run around,0,2024-04-02T00:00:00.000Z,2024-04-02T16:34:12.000Z,https://www.trustpilot.com/review/lemonade.com?page=1
660c0f0b99a80242637aec21,False,False,"Lemonade makes the process so easy! I came home from the vet, started online chat in the app, made a quick video explaining what happened, sent in a picture of vet receipt and within an hour my money was deposited. ",5,Lemonade makes the process so easy,0,2024-04-02T00:00:00.000Z,2024-04-02T15:58:36.000Z,https://www.trustpilot.com/review/lemonade.com?page=1
6605d3a88f5a5421846bb42e,False,False,"Useless renters / contents insurance. When I signed up they had some nice copy about helping you get your deposit back, I filed a claim at the end of the tenancy and it was flat out denied because instead of one claim it should have been 4 different claims each of which has an excess of £100. Of the 4 claims only 2 were over excess of £100, the most expensive denied, the cheaper would cost us £100 and them £6. Just confirmation that if you don't need insurance by contract (we did unfortunately) you're better off saving your money.",1,Useless renters / contents insurance,0,2024-03-25T00:00:00.000Z,2024-03-28T22:31:37.000Z,https://www.trustpilot.com/review/lemonade.com?page=1
660ac3e91db9be7ea356e739,False,False,Fantastically fast review of my claim and payment.   Coming from a competitor that would take weeks to reimburse me this has been a refreshing take.  The app is one of the best I've used as well for a submission.,5,Fantastically fast,0,2024-03-25T00:00:00.000Z,2024-04-01T16:25:46.000Z,https://www.trustpilot.com/review/lemonade.com?page=1
660c8e9a9e2341db4310af69,False,False,Great experience using Lemonade. I use their pet insurance and i’m very happy with the product. I’ve filed claims and the process is quick and easy. ,5,Great experience using Lemonade,0,2024-04-02T00:00:00.000Z,2024-04-03T01:02:50.000Z,https://www.trustpilot.com/review/lemonade.com?page=1
660c05d0758f3e7a56c9535d,False,False,"I use Lemonade for pet insurance. As a first time pet parent, Lemonade has been so easy to use to get reimbursements for routine care.",5,Great Pet insurance,0,2024-04-02T00:00:00.000Z,2024-04-02T15:19:13.000Z,https://www.trustpilot.com/review/lemonade.com?page=1
660d170fb6f1829eb2902644,False,False,"Been with them for over a year now, no issues with renewal and no silly price hikes so would recommend to all  ",5,Been with them for over a year now,0,2024-04-03T00:00:00.000Z,2024-04-03T10:45:04.000Z,https://www.trustpilot.com/review/lemonade.com?page=1
660432f2b020c7ad43486a86,False,False,"I have uploaded all of Mila's records, from her 3 past vets. Everything is current and it should not have take a week to process the claim. I am always telling cat adopters and dog handlers that they can get same day refunds with Lemonade, but that did not happen for me.",3,I have uploaded all of Mila's records,0,2024-03-26T00:00:00.000Z,2024-03-27T16:53:38.000Z,https://www.trustpilot.com/review/lemonade.com?page=1
660d5a62c3fcbf5a12da836c,False,False,"Easy to use, fast reimbursement. Our cat is healthy and we can help her stay that way with the regular check ups covered.",5,Easy to use,0,2024-03-24T00:00:00.000Z,2024-04-03T15:32:19.000Z,https://www.trustpilot.com/review/lemonade.com?page=1
6601621f6d43ae5d330e8249,False,False,"I took our dog to get neutered and microchip, and reported the claim the same evening. It was approved same day and funds were in my account within 24 hours. It was our first experience filing a claim, and it was super easy! I can't attest to illness or injury, but routine procedures were a breeze.",5,Filing our claim was a breeze…,0,2024-03-25T00:00:00.000Z,2024-03-25T13:38:08.000Z,https://www.trustpilot.com/review/lemonade.com?page=1
660ae27c0b8b33fd2f69dd00,False,False,So far my experience from sign-up to managing claims has been stellar. Would highly recommend Lemonade to anyone looking for comprehensive pet insurance at a reasonable rates ,5,"Fluid App, Top-Notch Customer Service",0,2024-03-26T00:00:00.000Z,2024-04-01T18:36:13.000Z,https://www.trustpilot.com/review/lemonade.com?page=1
6600cda576212b6ae671b7a7,False,False,"Our dog Shelby was very sick.  Not only did Lemonade handle our claim quickly, they were also concerned for our dog.  They always checked to see how she was doing before moving on to handling our claim in such a timely efficient manner.  Thank you Lemonade!  D",5,Illness hits our Dog,0,2024-03-24T00:00:00.000Z,2024-03-25T03:04:38.000Z,https://www.trustpilot.com/review/lemonade.com?page=1
66017ece7529708ef22bded8,False,False,"We love our Lemonade pet insurance. Put in a claim for our dog, it was approved and the money in my account within 48 hours. Their customer service is unmatchable as well!! So happy we chose this company. ",5,We love our Lemonade pet insurance,0,2024-03-25T00:00:00.000Z,2024-03-25T15:40:31.000Z,https://www.trustpilot.com/review/lemonade.com?page=1
6607faded6a9e243e3285d42,False,False,My first claim took almost a week but follow up claim was approved immediately. Very happy with company. ,5,My first claim took almost a week but…,0,2024-03-30T00:00:00.000Z,2024-03-30T13:43:26.000Z,https://www.trustpilot.com/review/lemonade.com?page=1
65febba51991b196146c1a7d,False,False,I have had Lemonade insurance for my puppy since I adopted her about a year and a half ago. This insurance has been super helpful as it helps you file claims and is very responsive in terms of reimbursement. The monthly cost is so small compared to just one emergency vet visit. I HIGHLY recommend! ,5,Worth Every Penny ,0,2024-03-22T00:00:00.000Z,2024-03-23T13:23:18.000Z,https://www.trustpilot.com/review/lemonade.com?page=1
65f8ccd0917b95da227c75bf,False,False,"Having Lemonade insurance coverage for our dogs has given us peace of mind — we don’t have to worry about ever making the choice between our dogs’ health and paying our bills. 
A few weeks ago, our dog’s leg was bothering him and he needed an inflamed skin growth removed from his leg. Filing the claim on the Lemonade app was quick and easy, and we got a reimbursement quickly deposited into our bank account. I highly recommend Lemonade to anyone with a beloved pet!!",5,Peace of mind,0,2024-03-05T00:00:00.000Z,2024-03-19T01:22:57.000Z,https://www.trustpilot.com/review/lemonade.com?page=1
66080787924f4d46f0f6569b,False,False,The best part is when you file a claim they get back to you same day even if it’s the weekend. I haven’t had a bad experience filing with them. ,5,The best part is when you file a claim…,0,2024-03-30T00:00:00.000Z,2024-03-30T14:37:28.000Z,https://www.trustpilot.com/review/lemonade.com?page=1
6600d0e372cc964e82891248,False,False,I took my kitty into my vet for his annual wellness appointment and received the necessary documentation from the vet. The next day I filed a claim online and it was immediately approved and my insurance payment was sent directly to my checking account. It was so easy and quick!!,5,Kitty’s annual wellness check,0,2024-03-12T00:00:00.000Z,2024-03-25T03:18:28.000Z,https://www.trustpilot.com/review/lemonade.com?page=1
65f9cd73d281fd3dde5d21d4,False,False,"You hope to never have to use pet insurance, but I’m so glad I have it. An emergency vet visit is super stressful, and having coverage provided immense peace of mind and allowed me to focus on my dog’s health and treatment, and not the mounting costs. Filing a claim was incredibly easy, and the turnaround was relatively fast, too.",5,"Really delivered, easy, and fast",0,2024-03-19T00:00:00.000Z,2024-03-19T19:37:55.000Z,https://www.trustpilot.com/review/lemonade.com?page=1
65fc6d57be54d18a37cc5344,False,False,"Not worth the cost. 

Noticed change of behaviour and a reduction in my cat's diet after February 8th.
Took her in for a general check up March 7th.
Vet found fluid on her abdomen and I brought her back for an ultrasound March 12, the results came back swiftly that my cat had pancreatic cancer that spread to her spleen and lymph nodes meaning there was nothing to do and on March 14th the vet recommended euthanasia and I agreed so as not to prolong her suffering.

Of this only the initial check up was covered by Lemonade as they claim the tumours were a pre existing condition and so nothing else was covered. Even the vet recommended euthanasia that is covered in the policy was not covered because it was a pre existing condition.

Of the $1700 treatment on March 12th only $44 was covered despite the treatment being a direct result of a check up on March 7th.

The app is simple to use but you never actually speak to a human and there's no use in a simple app if the coverage doesn't actually cover anything.",1,Not worth the cost,0,2024-03-21T00:00:00.000Z,2024-03-21T19:24:39.000Z,https://www.trustpilot.com/review/lemonade.com?page=1
6601604de787bda00bc3b8dc,False,False,"After our dog did her annual wellness checkup, I leaned on the vet counter and filed my claim which took two minutes. My reimbursement was in our account by the end of the day. User friendly process and quick.",5,Efficient ,0,2024-03-25T00:00:00.000Z,2024-03-25T13:30:21.000Z,https://www.trustpilot.com/review/lemonade.com?page=2
6600389772f7bb0ff1a5a304,False,False,"With my dog getting sick and spending a lot of money at the vet, you guys made it a lot easier because as soon as I submitted my claim I got paid in less than a week.",5,My experience ,0,2024-03-24T00:00:00.000Z,2024-03-24T16:28:40.000Z,https://www.trustpilot.com/review/lemonade.com?page=2
65f339eef59eafcd53704e40,False,False,"Worst insurance company. Avoid their pet insurance at any cost!

People are unprofessional. For any claim, even for a simple $50 they will do everything to refuse it. I got the same claim twice, one time it was accepted, other time it was refused. Very inconsistent and unprofessional. There is a lot of good other choices. Please do not choose Lemonade and support them. They are not worth it. ",1,Worst insurance company,0,2024-03-14T00:00:00.000Z,2024-03-14T19:54:54.000Z,https://www.trustpilot.com/review/lemonade.com?page=2
6600891da6a37a757bbcadc1,False,False,"Flat out ridiculous. At first, all is ok, no problems, no significant issues, because who ever thinks about homeowners insurance until you need it. 

Suddenly, when going to renew our policy after two years, there's now there's a requirement for earthquake retrofitting. There were no such earthquake requirements when we got the initial policy and there was no indication that there would be any new requirements that needed to be addressed in order to renew the policy. There was no mention of earthquake retrofitting when submitting the initial set of renewal photos in the app. 

The correct way to handle this is to work with the customer so that they are within compliance in order to maintain their policy and keep them as a customer. Instead they abruptly stated that they wont renew our policy due to vague explanations that give us little insight on what to do to maintain our policy. Now rather than having a customer, I'm fully invested in getting a policy with a different insurance provider and intend to make sure anyone who asks knows to avoid this bottom dwelling company. 

This is the type of service you expect from a insurance company that hawks their services on a billboard on the side of a freeway.",1,Flat out ridiculous,0,2024-03-22T00:00:00.000Z,2024-03-24T22:12:14.000Z,https://www.trustpilot.com/review/lemonade.com?page=2
65f98dcd1f1503186df60e22,False,False,"The absolute best experience I’ve had with an insurance company. We use them for pet insurance. Claims are super easy to file, the app is so use friendly, the response time is lightening fast. Very different than the traditional insurance model we’re all used to. Highly recommend Lemonade!!",5,The absolute best experience I’ve had…,0,2024-03-19T00:00:00.000Z,2024-03-19T15:06:21.000Z,https://www.trustpilot.com/review/lemonade.com?page=2
65f6e660b864eee3e5a6b529,False,False,"Filing a claim was very easy and is usually reviewed and approved with 2-3 business days. Having Lemondade pet insurance has given us peace of mind knowing that if anything happens to our puppy, he will be taken care of.",5,Easy to apply and file a claim,0,2024-03-17T00:00:00.000Z,2024-03-17T14:47:28.000Z,https://www.trustpilot.com/review/lemonade.com?page=2
65f96e8d8597a8644089495b,False,False,"I was apprehensive about insuring with Lemonade as I live in the UK and it seems to be relatively new here.  The policy price is reasonable and the claim process and support given for a broken mobile phone was excellent.  (John was our claim advocate)
Once the claim was settled the money was in the bank the next day.

",5,JOHN WAS SUPPORTIVE WITH OUR CLAIM,0,2024-03-19T00:00:00.000Z,2024-03-19T12:53:01.000Z,https://www.trustpilot.com/review/lemonade.com?page=2
65f1bb1e69c6e87432e7d043,False,False,"I was extremely hesitant to get pet insurance because I thought this would just be another scam or something that had me jump through hoops when I needed to file a claim.

I’ve done two claims now and Lemonade has been nothing short of exemplary. Their customer service is incredible.

Thanks lemonade team!",5,Almost passed on pet insurance ,0,2024-03-13T00:00:00.000Z,2024-03-13T16:41:35.000Z,https://www.trustpilot.com/review/lemonade.com?page=2
65fb2459d59470937453189a,False,False,Very easy to submit and almost immediate response.  This was the first time I have ever had pet insurance for our dog and I am extremely happy with our choice of Lemonade.  All emails are always friendly and quick to respond.  Thanks so much!,5,Very easy to submit and almost…,0,2024-03-17T00:00:00.000Z,2024-03-20T20:00:58.000Z,https://www.trustpilot.com/review/lemonade.com?page=2
65f8617d28d77746205168b3,False,False,"I have pet insurance through Lemonade. All the claims I have submitted were approved very quickly, and the money was sent to me within 3 days. 

I understand they don't cover dentals to keep costs down, but I wish there was an option to add it.",5,Great Pet Insurance,0,2024-03-18T00:00:00.000Z,2024-03-18T17:45:02.000Z,https://www.trustpilot.com/review/lemonade.com?page=2
660d3f80bb9f7b77f1aaaf6c,False,False,Lemonade makes the claim process quick and easy.,5,5 star service,0,2024-04-03T00:00:00.000Z,2024-04-03T13:37:37.000Z,https://www.trustpilot.com/review/lemonade.com?page=2
65f9825c0c43694e3756e4f6,False,False,"I put my first claim in and at first was a little put off by it seeming to be through a chat feature on the app. However, this has to have been the easiest claim I have ever submitted to an insurance company. It walked me through step by step and instantly reviewed/approved my claim. Money was in my account the next day. Very happy with this company versus the previous companies I have been through. ",5,Easy and Painless. ,0,2024-03-13T00:00:00.000Z,2024-03-19T14:17:32.000Z,https://www.trustpilot.com/review/lemonade.com?page=2
65f87c9e79f564f165521d1f,False,False,I have always had a great experience with Lemonade. My claim was taken care of quickly and with great professionalism and my questions were answered quickly. I also got my refund very quick. Would highly recommend this company.,5,I have always had a great experience…,0,2024-03-18T00:00:00.000Z,2024-03-18T19:40:47.000Z,https://www.trustpilot.com/review/lemonade.com?page=2
66007ed0562955774fab2f31,False,False,"Lemonade has a good line of communication, an easy process to file a claim, and the claim is paid in a timely manner. 
I highly recommend Lemonade for pet insurance. ",5,Lemonade has you and your Babies.covered!,0,2024-03-17T00:00:00.000Z,2024-03-24T21:28:17.000Z,https://www.trustpilot.com/review/lemonade.com?page=2
